E:2665 O:2330 N:3079 S:3058 | ErrAz:335 ErrEl:21 | P_Az:33 P_El:-2
E:2665 O:2330 N:3078 S:3057 | ErrAz:335 ErrEl:21 | P_Az:33 P_El:-2
E:2664 O:2331 N:3078 S:3058 | ErrAz:333 ErrEl:20 | P_Az:33 P_El:-2
E:2664 O:2331 N:3078 S:3058 | ErrAz:333 ErrEl:20 | P_Az:33 P_El:-2
E:2664 O:2331 N:3078 S:3057 | ErrAz:333 ErrEl:21 | P_Az:33 P_El:-2
E:2664 O:2331 N:3078 S:3058 | ErrAz:333 ErrEl:20 | P_Az:33 P_El:-2
E:2664 O:2329 N:3079 S:3057 | ErrAz:335 ErrEl:22 | P_Az:33 P_El:-2
E:2665 O:2329 N:3080 S:3057 | ErrAz:336 ErrEl:23 | P_Az:33 P_El:-2
E:2665 O:2330 N:3080 S:3058 | ErrAz:335 ErrEl:22 | P_Az:33 P_El:-2
E:2665 O:2331 N:3079 S:3058 | ErrAz:334 ErrEl:21 | P_Az:33 P_El:-2
E:2665 O:2331 N:3079 S:3058 | ErrAz:334 ErrEl:21 | P_Az:33 P_El:-2
E:2665 O:2332 N:3079 S:3058 | ErrAz:333 ErrEl:21 | P_Az:33 P_El:-2
E:2665 O:2332 N:3080 S:3057 | ErrAz:333 ErrEl:23 | P_Az:33 P_El:-2
E:2666 O:2331 N:3080 S:3057 | ErrAz:335 ErrEl:23 | P_Az:33 P_El:-2
E:2665 O:2331 N:3080 S:3058 | ErrAz:334 ErrEl:22 | P_Az:33 P_El:-2
E:2665 O:2331 N:3080 S:3058 | ErrAz:334 ErrEl:22 | P_Az:33 P_El:-2
E:2666 O:2330 N:3080 S:3058 | ErrAz:336 ErrEl:22 | P_Az:33 P_El:-2
E:2666 O:2330 N:3080 S:3055 | ErrAz:336 ErrEl:25 | P_Az:33 P_El:-2
E:2666 O:2330 N:3080 S:3056 | ErrAz:336 ErrEl:24 | P_Az:33 P_El:-2
E:2666 O:2330 N:3080 S:3056 | ErrAz:336 ErrEl:24 | P_Az:33 P_El:-2
E:2666 O:2330 N:3080 S:3056 | ErrAz:336 ErrEl:24 | P_Az:33 P_El:-2
E:2666 O:2330 N:3080 S:3057 | ErrAz:336 ErrEl:23 | P_Az:33 P_El:-2
E:2666 O:2331 N:3081 S:3056 | ErrAz:335 ErrEl:25 | P_Az:33 P_El:-2
E:2667 O:2330 N:3080 S:3057 | ErrAz:337 ErrEl:23 | P_Az:33 P_El:-2
E:2667 O:2330 N:3080 S:3058 | ErrAz:337 ErrEl:22 | P_Az:33 P_El:-2
E:2666 O:2329 N:3080 S:3058 | ErrAz:337 ErrEl:22 | P_Az:33 P_El:-2
E:2666 O:2329 N:3080 S:3058 | ErrAz:337 ErrEl:22 | P_Az:33 P_El:-2
E:2666 O:2329 N:3080 S:3058 | ErrAz:337 ErrEl:22 | P_Az:33 P_El:-2
E:2665 O:2330 N:3081 S:3058 | ErrAz:335 ErrEl:23 | P_Az:33 P_El:-2
E:2665 O:2330 N:3082 S:3057 | ErrAz:335 ErrEl:25 | P_Az:33 P_El:-2
E:2666 O:2332 N:3082 S:3057 | ErrAz:334 ErrEl:25 | P_Az:33 P_El:-2
E:2666 O:2332 N:3082 S:3057 | ErrAz:334 ErrEl:25 | P_Az:33 P_El:-2
E:2665 O:2331 N:3082 S:3058 | ErrAz:334 ErrEl:24 | P_Az:33 P_El:-2
E:2665 O:2332 N:3082 S:3058 | ErrAz:333 ErrEl:24 | P_Az:33 P_El:-2
E:2665 O:2331 N:3082 S:3058 | ErrAz:334 ErrEl:24 | P_Az:33 P_El:-2
E:2666 O:2331 N:3081 S:3060 | ErrAz:335 ErrEl:21 | P_Az:33 P_El:-2
E:2666 O:2332 N:3082 S:3059 | ErrAz:334 ErrEl:23 | P_Az:33 P_El:-2
E:2666 O:2331 N:3081 S:3059 | ErrAz:335 ErrEl:22 | P_Az:33 P_El:-2
E:2665 O:2331 N:3082 S:3059 | ErrAz:334 ErrEl:23 | P_Az:33 P_El:-2
E:2664 O:2331 N:3081 S:3058 | ErrAz:333 ErrEl:23 | P_Az:33 P_El:-2
E:2665 O:2331 N:3083 S:3058 | ErrAz:334 ErrEl:25 | P_Az:33 P_El:-2
E:2664 O:2330 N:3082 S:3058 | ErrAz:334 ErrEl:24 | P_Az:33 P_El:-2
E:2664 O:2331 N:3082 S:3058 | ErrAz:333 ErrEl:24 | P_Az:33 P_El:-2
E:2664 O:2331 N:3081 S:3058 | ErrAz:333 ErrEl:23 | P_Az:33 P_El:-2
E:2664 O:2332 N:3082 S:3058 | ErrAz:332 ErrEl:24 | P_Az:33 P_El:-2
E:2664 O:2332 N:3082 S:3058 | ErrAz:332 ErrEl:24 | P_Az:33 P_El:-2
E:2664 O:2332 N:3082 S:3059 | ErrAz:332 ErrEl:23 | P_Az:33 P_El:-2
E:2667 O:2332 N:3081 S:3058 | ErrAz:335 ErrEl:23 | P_Az:33 P_El:-2
E:2667 O:2332 N:3081 S:3059 | ErrAz:335 ErrEl:22 | P_Az:33 P_El:-2
E:2667 O:2330 N:3080 S:3058 | ErrAz:337 ErrEl:22 | P_Az:33 P_El:-2
E:2666 O:2330 N:3080 S:3058 | ErrAz:336 ErrEl:22 | P_Az:33 P_El:-2
E:2666 O:2330 N:3080 S:3058 | ErrAz:336 ErrEl:22 | P_Az:33 P_El:-2
E:2663 O:2330 N:3080 S:3058 | ErrAz:333 ErrEl:22 | P_Az:33 P_El:-2
E:2663 O:2330 N:3080 S:3058 | ErrAz:333 ErrEl:22 | P_Az:33 P_El:-2
E:2663 O:2330 N:3080 S:3058 | ErrAz:333 ErrEl:22 | P_Az:33 P_El:-2
E:2664 O:2330 N:3080 S:3058 | ErrAz:334 ErrEl:22 | P_Az:33 P_El:-2
E:2664 O:2330 N:3080 S:3058 | ErrAz:334 ErrEl:22 | P_Az:33 P_El:-2
E:2664 O:2330 N:3080 S:3058 | ErrAz:334 ErrEl:22 | P_Az:33 P_El:-2
E:2661 O:2331 N:3080 S:3058 | ErrAz:330 ErrEl:22 | P_Az:33 P_El:-2
E:2659 O:2331 N:3080 S:3058 | ErrAz:328 ErrEl:22 | P_Az:32 P_El:-2
E:2661 O:2331 N:3080 S:3058 | ErrAz:330 ErrEl:22 | P_Az:33 P_El:-2
E:2661 O:2331 N:3080 S:3059 | ErrAz:330 ErrEl:21 | P_Az:33 P_El:-2
E:2661 O:2331 N:3078 S:3059 | ErrAz:330 ErrEl:19 | P_Az:33 P_El:-1
E:2661 O:2330 N:3078 S:3059 | ErrAz:331 ErrEl:19 | P_Az:33 P_El:-1
E:2661 O:2330 N:3078 S:3059 | ErrAz:331 ErrEl:19 | P_Az:33 P_El:-1
E:2662 O:2330 N:3078 S:3059 | ErrAz:332 ErrEl:19 | P_Az:33 P_El:-1
E:2662 O:2330 N:3079 S:3058 | ErrAz:332 ErrEl:21 | P_Az:33 P_El:-2
E:2662 O:2330 N:3078 S:3059 | ErrAz:332 ErrEl:19 | P_Az:33 P_El:-1
E:2662 O:2330 N:3079 S:3059 | ErrAz:332 ErrEl:20 | P_Az:33 P_El:-2
E:2662 O:2331 N:3078 S:3059 | ErrAz:331 ErrEl:19 | P_Az:33 P_El:-1
E:2662 O:2331 N:3078 S:3059 | ErrAz:331 ErrEl:19 | P_Az:33 P_El:-1
E:2662 O:2332 N:3079 S:3058 | ErrAz:330 ErrEl:21 | P_Az:33 P_El:-2
E:2663 O:2332 N:3076 S:3058 | ErrAz:331 ErrEl:18 | P_Az:33 P_El:-1
E:2663 O:2331 N:3077 S:3058 | ErrAz:332 ErrEl:19 | P_Az:33 P_El:-1
E:2663 O:2331 N:3078 S:3057 | ErrAz:332 ErrEl:21 | P_Az:33 P_El:-2
E:2663 O:2332 N:3078 S:3057 | ErrAz:331 ErrEl:21 | P_Az:33 P_El:-2
E:2663 O:2331 N:3078 S:3056 | ErrAz:332 ErrEl:22 | P_Az:33 P_El:-2
